Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR14638897812209664,FRIENDS OF DAVE JOYCE,FEC ID C00527457,US,US-Federal,14,7200,6350,512000,12550,47700,165000,48000,2055000,27600,30525,66750,5500
AR146984913424351232,Tidewater Strategies,EIN ID 46-1913576,US,US-Federal,7,7700,6800,546000,13400,50900,176000,51000,2190000,29400,32550,71250,5850
AR147589644819628032,JOE CUNNINGHAM FOR CONGRESS,FEC ID C00650507,US,US-Federal,26,18000,15900,1279750,31400,119300,413000,120000,5137500,68900,76350,167250,13700
AR148131429174214656,WILLIAMS FOR MONTANA,,US,US-Federal,16,25900,22800,1835500,45050,171100,592000,172000,7365000,98900,109500,240000,19650
AR148211418645135360,GroenLinks,,"EU, NL",EU-Parliament,15,15900,13950,1124750,27600,104800,363000,105500,4515000,60600,67125,147000,12050
AR148284536168382464,KIRKPATRICK FOR CONGRESS,FEC ID C00651042,US,US-Federal,24,114100,100400,8088250,198475,754000,2610000,757500,32467500,435700,482475,1057500,86700
AR149173766197346304,ΚΩΣΤΗΣ ΧΑΤΖΗΔΑΚΗΣ,,"EU, GR",EU-Parliament,4,400,400,30750,750,2900,10000,3000,120000,1700,1875,3750,350
AR149454416540336128,"YOUNG FOR IOWA, INC.",FEC ID C00545616,US,US-Federal,12,22600,19850,1601500,39300,149300,517000,150000,6427500,86300,95550,209250,17150
AR149746886633324544,CHRIS DEPIZZO FOR CONGRESS,FEC ID C00659151,US,US-Federal,31,16700,14650,1181500,29000,110100,381000,110500,4740000,63600,70500,154500,12650
AR150536335982067712,CISNEROS FOR CONGRESS,FEC ID C00650648,US,US-Federal,37,367800,323650,26078000,639900,2430900,8414000,2442000,104685000,1404900,1555650,3409500,279500
AR150782626586689536,TINA SMITH FOR MINNESOTA,FEC ID C00663781,US,US-Federal,72,161000,141650,11414750,280100,1064000,3683000,1069000,45825000,614900,680925,1492500,122350
AR150822483883196416,Partidul Uniunea Salvati Romania,,"DE, ES, EU, FR, GB, IT, RO",EU-Parliament,152,104100,91600,7379750,181100,687900,2381000,691000,29625000,397600,440250,964500,79100
